system,depth,num_bins_feature_encoding,eval_pred,classes_used,accuracy,num_features
poppler,7,20,0.24406598924210315,5,0.28846153846153844,120
poppler,10,20,0.23770123181300543,5,0.27884615384615385,120
sqlite,2,5,0.6210816024382255,5,0.4482758620689655,30
sqlite,3,5,0.6210816024382255,5,0.4482758620689655,30
sqlite,4,5,0.6210816024382255,5,0.4482758620689655,30
sqlite,5,5,0.6210816024382255,5,0.4482758620689655,30
sqlite,7,5,0.6210816024382255,5,0.4482758620689655,30
sqlite,10,5,0.6210816024382255,5,0.4482758620689655,30
sqlite,2,8,0.6300408800772648,5,0.41379310344827586,48
sqlite,3,8,0.6300408800772648,5,0.41379310344827586,48
sqlite,4,8,0.6300408800772648,5,0.41379310344827586,48
sqlite,5,8,0.6300408800772648,5,0.41379310344827586,48
sqlite,7,8,0.6300408800772648,5,0.41379310344827586,48
sqlite,10,8,0.6300408800772648,5,0.41379310344827586,48
sqlite,2,10,0.6208376290486057,5,0.27586206896551724,60
sqlite,3,10,0.6212034302084437,5,0.3448275862068966,60
sqlite,4,10,0.6210816024382255,5,0.4482758620689655,60
sqlite,5,10,0.6210816024382255,5,0.4482758620689655,60
sqlite,7,10,0.6210816024382255,5,0.4482758620689655,60
sqlite,10,10,0.6210816024382255,5,0.4482758620689655,60
sqlite,2,12,0.6208376290486057,5,0.27586206896551724,72
sqlite,3,12,0.6212034302084437,5,0.3448275862068966,72
sqlite,4,12,0.6210816024382255,5,0.4482758620689655,72
sqlite,5,12,0.6210816024382255,5,0.4482758620689655,72
sqlite,7,12,0.4907311690979052,5,0.3793103448275862,72
sqlite,10,12,0.4907311690979052,5,0.3793103448275862,72
sqlite,2,15,0.6898514171791578,5,0.27586206896551724,90
sqlite,3,15,0.6212034302084437,5,0.3448275862068966,90
sqlite,4,15,0.6210816024382255,5,0.4482758620689655,90
sqlite,5,15,0.6254410079799897,5,0.4482758620689655,90
sqlite,7,15,0.6254410079799897,5,0.4482758620689655,90
sqlite,10,15,0.6254410079799897,5,0.4482758620689655,90
sqlite,2,20,0.6208376290486057,5,0.27586206896551724,120
sqlite,3,20,0.6212034302084437,5,0.3448275862068966,120
sqlite,4,20,0.6210816024382255,5,0.4482758620689655,120
sqlite,5,20,0.6245050517167544,5,0.41379310344827586,120
sqlite,7,20,0.5214795038948029,5,0.3793103448275862,120
sqlite,10,20,0.5214795038948029,5,0.3793103448275862,120
x264,2,5,0.5586884729785324,5,0.43023255813953487,49
x264,3,5,0.56870182683443,5,0.43023255813953487,49
x264,4,5,0.5780921026313002,5,0.43410852713178294,49
x264,5,5,0.5803163666062738,5,0.44573643410852715,49
x264,7,5,0.5742049938633844,5,0.46511627906976744,49
x264,10,5,0.5683982479961723,5,0.4806201550387597,49
x264,2,8,0.6382817502277013,5,0.47674418604651164,70
x264,3,8,0.6315045951338096,5,0.47674418604651164,70
x264,4,8,0.632241974118032,5,0.47674418604651164,70
x264,5,8,0.6414043118815719,5,0.4883720930232558,70
x264,7,8,0.6370873824191936,5,0.4844961240310077,70
x264,10,8,0.5966654942931799,5,0.4806201550387597,70
x264,2,10,0.6718919902721846,5,0.4573643410852713,84
x264,3,10,0.6714541761842631,5,0.4573643410852713,84
x264,4,10,0.6323551427508065,5,0.45348837209302323,84
x264,5,10,0.6177413000285864,5,0.46511627906976744,84
x264,7,10,0.5869875673732091,5,0.437984496124031,84
x264,10,10,0.599541482622869,5,0.4069767441860465,84
x264,2,12,0.697847303813702,5,0.4806201550387597,98
x264,3,12,0.589810797853856,5,0.45348837209302323,98
x264,4,12,0.5989730408637121,5,0.46511627906976744,98
x264,5,12,0.5938814798375989,5,0.437984496124031,98
x264,7,12,0.5937462715033436,5,0.44573643410852715,98
x264,10,12,0.545586011524838,5,0.437984496124031,98
x264,2,15,0.745947919537084,5,0.43410852713178294,119
x264,3,15,0.7079243555737441,5,0.44573643410852715,119
x264,4,15,0.6323990255968021,5,0.4728682170542636,119
x264,5,15,0.6098713128782779,5,0.4496124031007752,119
x264,7,15,0.6123763212071573,5,0.4728682170542636,119
x264,10,15,0.6089880459860618,5,0.45348837209302323,119
x264,2,20,0.6864371661060568,5,0.45348837209302323,154
x264,3,20,0.6643324238350516,5,0.4496124031007752,154
x264,4,20,0.6494320675440196,5,0.437984496124031,154
x264,5,20,0.6577560289616416,5,0.437984496124031,154
x264,7,20,0.6525732308659947,5,0.43023255813953487,154
x264,10,20,0.6218444571727915,5,0.43023255813953487,154
xz,2,5,0.4767434223482351,5,0.1,10
xz,3,5,0.4767434223482351,5,0.1,10
xz,4,5,0.4767434223482351,5,0.1,10
xz,5,5,0.4767434223482351,5,0.1,10
xz,7,5,0.4767434223482351,5,0.1,10
xz,10,5,0.4767434223482351,5,0.1,10
xz,2,8,0.475428368796627,5,0.0,13
xz,3,8,0.475428368796627,5,0.0,13
xz,4,8,0.475428368796627,5,0.0,13
xz,5,8,0.475428368796627,5,0.0,13
xz,7,8,0.47813107149932976,5,0.0,13
xz,10,8,0.47813107149932976,5,0.0,13
xz,2,10,0.475428368796627,5,0.0,15
xz,3,10,0.475428368796627,5,0.0,15
xz,4,10,0.475428368796627,5,0.0,15
xz,5,10,0.475428368796627,5,0.0,15
xz,7,10,0.47813107149932976,5,0.0,15
xz,10,10,0.47813107149932976,5,0.0,15
xz,2,12,0.475428368796627,5,0.0,17
xz,3,12,0.475428368796627,5,0.0,17
xz,4,12,0.475428368796627,5,0.0,17
xz,5,12,0.475428368796627,5,0.0,17
xz,7,12,0.475428368796627,5,0.0,17
xz,10,12,0.45650944987770814,5,0.0,17
xz,2,15,0.475428368796627,5,0.0,20
xz,3,15,0.475428368796627,5,0.0,20
xz,4,15,0.475428368796627,5,0.0,20
xz,5,15,0.475428368796627,5,0.0,20
xz,7,15,0.475428368796627,5,0.0,20
xz,10,15,0.47813107149932976,5,0.0,20
xz,2,20,0.475428368796627,5,0.0,25
xz,3,20,0.475428368796627,5,0.0,25
xz,4,20,0.475428368796627,5,0.0,25
xz,5,20,0.475428368796627,5,0.0,25
xz,7,20,0.475428368796627,5,0.0,25
xz,10,20,0.47813107149932976,5,0.0,25
