system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target,input_to_config_map
xz,2,"['size', 'time']",10,"[3, 6, 11, 13, 14, 17, 18, 21, 25, 29]",1,9830215986.0,0.5999595373812888,0.9830069124423962,0.5618054738619712,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 18, 'bible': 6, 'book2': 17, 'cp': 21, 'dickens': 3, 'geo': 11, 'grammar': 14, 'kennedy': 17, 'lcet10': 6, 'mozilla': 3, 'mr': 3, 'news': 6, 'obj1': 18, 'obj2': 11, 'ooffice': 29, 'paper4': 18, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 29, 'progp': 17, 'ptt5': 11, 'reymont': 11, 'samba': 18, 'sum': 14, 'trans': 18, 'world192': 11, 'x-ray': 17, 'xargs': 6, 'xml': 17}"
xz,2,"['size', 'time']",11,"[3, 6, 10, 11, 13, 14, 17, 18, 21, 25, 29]",1,9830215804.0,0.5994544868762384,0.9830069124423962,0.5540226340745756,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 18, 'bible': 6, 'book2': 17, 'cp': 21, 'dickens': 3, 'geo': 11, 'grammar': 14, 'kennedy': 17, 'lcet10': 10, 'mozilla': 3, 'mr': 3, 'news': 6, 'obj1': 18, 'obj2': 11, 'ooffice': 29, 'paper4': 18, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 29, 'progp': 17, 'ptt5': 11, 'reymont': 11, 'samba': 18, 'sum': 14, 'trans': 18, 'world192': 11, 'x-ray': 17, 'xargs': 6, 'xml': 17}"
xz,2,"['size', 'time']",12,"[3, 6, 10, 11, 13, 14, 17, 18, 20, 21, 25, 29]",1,9830215632.0,0.5989788057007951,0.9830069124423962,0.5528149046059765,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 18, 'bible': 6, 'book2': 17, 'cp': 21, 'dickens': 3, 'geo': 11, 'grammar': 14, 'kennedy': 20, 'lcet10': 10, 'mozilla': 3, 'mr': 3, 'news': 6, 'obj1': 18, 'obj2': 11, 'ooffice': 29, 'paper4': 18, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 29, 'progp': 17, 'ptt5': 11, 'reymont': 11, 'samba': 18, 'sum': 14, 'trans': 18, 'world192': 11, 'x-ray': 20, 'xargs': 6, 'xml': 17}"
xz,2,"['size', 'time']",13,"[3, 6, 7, 11, 13, 14, 17, 18, 20, 21, 24, 25, 29]",1,9830215606.0,0.5989087032711825,0.9830069124423962,0.5558742287252535,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 18, 'bible': 6, 'book2': 17, 'cp': 21, 'dickens': 3, 'geo': 11, 'grammar': 14, 'kennedy': 20, 'lcet10': 24, 'mozilla': 7, 'mr': 3, 'news': 6, 'obj1': 18, 'obj2': 11, 'ooffice': 29, 'paper4': 18, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 29, 'progp': 17, 'ptt5': 11, 'reymont': 7, 'samba': 18, 'sum': 14, 'trans': 18, 'world192': 11, 'x-ray': 20, 'xargs': 6, 'xml': 17}"
xz,2,"['size', 'time']",14,"[3, 6, 7, 10, 11, 13, 14, 17, 18, 20, 21, 24, 25, 29]",1,9830215606.0,0.5989087032711825,0.9830069124423962,0.5527421102742284,0.9484928299678079,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'asyoulik': 11, 'bib': 18, 'bible': 6, 'book2': 17, 'cp': 21, 'dickens': 3, 'geo': 11, 'grammar': 14, 'kennedy': 20, 'lcet10': 10, 'mozilla': 7, 'mr': 3, 'news': 6, 'obj1': 18, 'obj2': 11, 'ooffice': 29, 'paper4': 18, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 29, 'progp': 17, 'ptt5': 11, 'reymont': 7, 'samba': 18, 'sum': 14, 'trans': 18, 'world192': 11, 'x-ray': 20, 'xargs': 6, 'xml': 17}"
xz,2,"['size', 'time']",1,[29],2,9839254314.0,0.7064185859485561,0.9838709677419355,0.7587773582002534,0.9637681159420293,both,"{'Ecoli': 29, 'a': 29, 'aaa': 29, 'alice29': 29, 'alphabet': 29, 'asyoulik': 29, 'bible': 29, 'book1': 29, 'cp': 29, 'dickens': 29, 'fieldsc': 29, 'grammar': 29, 'mr': 29, 'nci': 29, 'news': 29, 'obj1': 29, 'obj2': 29, 'ooffice': 29, 'osdb': 29, 'paper1': 29, 'paper2': 29, 'paper3': 29, 'paper4': 29, 'paper6': 29, 'pic': 29, 'progl': 29, 'progp': 29, 'ptt5': 29, 'random': 29, 'reymont': 29, 'sao': 29, 'sum': 29, 'trans': 29, 'webster': 29, 'world192': 29, 'xml': 29}"
xz,2,"['size', 'time']",2,"[14, 21]",2,9830233866.0,0.6496219554893735,0.9830069124423962,0.6920469840926323,0.9444444444444446,both,"{'Ecoli': 21, 'a': 21, 'aaa': 14, 'alice29': 21, 'alphabet': 14, 'asyoulik': 21, 'bible': 14, 'book1': 21, 'cp': 21, 'dickens': 21, 'fieldsc': 21, 'grammar': 14, 'mr': 14, 'nci': 14, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'osdb': 14, 'paper1': 21, 'paper2': 14, 'paper3': 14, 'paper4': 21, 'paper6': 21, 'pic': 14, 'progl': 14, 'progp': 14, 'ptt5': 21, 'random': 21, 'reymont': 14, 'sao': 14, 'sum': 14, 'trans': 14, 'webster': 14, 'world192': 21, 'xml': 14}"
xz,2,"['size', 'time']",3,"[14, 15, 21]",2,9830226374.0,0.6288149085471137,0.9830069124423962,0.6486623317867922,0.939584934665642,both,"{'Ecoli': 21, 'a': 21, 'aaa': 14, 'alice29': 21, 'alphabet': 14, 'asyoulik': 21, 'bible': 14, 'book1': 15, 'cp': 21, 'dickens': 21, 'fieldsc': 21, 'grammar': 14, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 14, 'paper3': 14, 'paper4': 21, 'paper6': 21, 'pic': 14, 'progl': 14, 'progp': 14, 'ptt5': 21, 'random': 21, 'reymont': 15, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 21, 'xml': 14}"
xz,2,"['size', 'time']",4,"[13, 14, 15, 21]",2,9830221374.0,0.6149260196582249,0.9830069124423962,0.6414730924546957,0.939584934665642,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'alice29': 21, 'alphabet': 14, 'asyoulik': 21, 'bible': 14, 'book1': 15, 'cp': 21, 'dickens': 21, 'fieldsc': 21, 'grammar': 14, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 14, 'paper3': 14, 'paper4': 21, 'paper6': 21, 'pic': 14, 'progl': 14, 'progp': 14, 'ptt5': 21, 'random': 21, 'reymont': 15, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 21, 'xml': 14}"
xz,2,"['size', 'time']",5,"[11, 13, 14, 15, 21]",2,9830217803.0,0.605015412828091,0.9830069124423962,0.6329541301682695,0.9334358186010762,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'alice29': 11, 'alphabet': 14, 'asyoulik': 11, 'bible': 14, 'book1': 11, 'cp': 21, 'dickens': 11, 'fieldsc': 21, 'grammar': 14, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 11, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 11, 'paper3': 14, 'paper4': 21, 'paper6': 11, 'pic': 14, 'progl': 11, 'progp': 11, 'ptt5': 11, 'random': 11, 'reymont': 11, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 11, 'xml': 14}"
