system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target,input_to_config_map
gcc,1,['exec'],14,"[4, 5, 11, 13, 14, 17, 39, 47, 50, 51, 62, 64, 73, 77]",0.0,4.728149079811199e-08,1.2293187607509118e-06,both,"{'2mm': 17, '3mm': 14, 'adi': 5, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 11, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 13, 'gesummv': 51, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 64, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],15,"[0, 4, 5, 11, 13, 14, 17, 39, 47, 50, 51, 62, 64, 73, 77]",0.0,4.728149079811199e-08,1.2293187607509118e-06,both,"{'2mm': 17, '3mm': 14, 'adi': 5, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 11, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 13, 'gesummv': 51, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 64, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,2,"['exec', 'ctime']",1,[56],3751057892.0,0.22265763612266348,0.3751134970544266,both,"{'2mm': 56, '3mm': 56, 'adi': 56, 'atax': 56, 'bicg': 56, 'covariance': 56, 'durbin': 56, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 56, 'floyd-warshall': 56, 'gemm': 56, 'gemver': 56, 'gesummv': 56, 'jacobi-1d-imper': 56, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 56, 'mvt': 56, 'reg_detect': 56, 'seidel-2d': 56, 'symm': 56, 'syr2k': 56, 'syrk': 56, 'trisolv': 56, 'trmm': 56}"
gcc,2,"['exec', 'ctime']",2,"[54, 56]",3751050794.0,0.19536217599692088,0.3751134970544266,both,"{'2mm': 54, '3mm': 54, 'adi': 56, 'atax': 54, 'bicg': 56, 'covariance': 56, 'durbin': 54, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 56, 'gemver': 54, 'gesummv': 54, 'jacobi-1d-imper': 54, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 54, 'mvt': 54, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 54, 'syr2k': 54, 'syrk': 54, 'trisolv': 56, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",3,"[36, 54, 56]",3751048299.0,0.1857658944886484,0.3751134970544266,both,"{'2mm': 54, '3mm': 36, 'adi': 56, 'atax': 36, 'bicg': 36, 'covariance': 36, 'durbin': 54, 'dynprog': 56, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 36, 'gesummv': 54, 'jacobi-1d-imper': 54, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 54, 'mvt': 54, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 36, 'syr2k': 54, 'syrk': 54, 'trisolv': 56, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",4,"[2, 36, 54, 56]",3751046131.0,0.17742331813247686,0.3751134970544266,both,"{'2mm': 54, '3mm': 36, 'adi': 56, 'atax': 36, 'bicg': 36, 'covariance': 36, 'durbin': 2, 'dynprog': 56, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 36, 'gesummv': 54, 'jacobi-1d-imper': 54, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 54, 'mvt': 54, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 56, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",5,"[2, 36, 54, 56, 62]",3751045030.0,0.17319123763004407,0.3751134970544266,both,"{'2mm': 54, '3mm': 36, 'adi': 56, 'atax': 36, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 62, 'gesummv': 54, 'jacobi-1d-imper': 54, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 54, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 62, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",6,"[2, 26, 36, 54, 56, 62]",3751044065.0,0.16947505315795242,0.3751134970544266,both,"{'2mm': 26, '3mm': 26, 'adi': 56, 'atax': 36, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 62, 'gesummv': 54, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 62, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",7,"[2, 26, 36, 48, 54, 56, 62]",3751043830.0,0.1685700757823868,0.3751134970544266,both,"{'2mm': 26, '3mm': 26, 'adi': 56, 'atax': 36, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 62, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 62, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",8,"[2, 26, 36, 46, 48, 54, 56, 62]",3751043609.0,0.16771930136450308,0.3751134970544266,both,"{'2mm': 26, '3mm': 46, 'adi': 56, 'atax': 36, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 46, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 46, 'trmm': 54}"
