system,split,configs,num_performances,performances,tree_depth,tree_leaves,sdc_num_configs,sdc_avg,sdc_std,best_avg,best_std,best_num_configs,average_avg,average_std,overall_avg,overall_std,metric_avg,metric_std
lingeling,1,0,1,reductions,4.75,1017,0.57,1.5430526938697382,1.424020063606223,0.0,0.0,0.26,2.133436767048533,1.138066148834887,1.8972112347181658,1.5670163943980309,1.82970946323423,1.6272204751461425
lingeling,2,0,1,reductions,5.25,1029,0.62,2.223049566513055,1.852196410937479,0.0,0.0,0.24,2.4616746254544553,1.554956058786741,2.2794147036643113,1.9106049209411553,2.2794147036643113,1.9106049209411553
lingeling,3,0,1,reductions,4.25,1017,0.59,3.0329401992843374,2.25448237291072,0.0,0.0,0.32,2.85700758478685,2.059744695795034,2.6487367064503893,2.3708673615482256,2.6487367064503893,2.3708673615482256
lingeling,4,0,1,reductions,5.0,1025,0.62,1.810349265497852,1.9588339697481225,0.0,0.0,0.26,2.500724110295086,1.59696699435393,2.0475897990616305,1.8865425536778733,2.0475897990616305,1.8865425536778733
lingeling,0,0,2,reductions-cps,4.5,1014,0.75,2.095117398394367,1.036469996799511,0.0,0.0,0.36,2.0680780365368685,0.679267047345393,1.891191617245856,1.2552391092185404,1.8717590939507676,1.0626784664233417
lingeling,1,0,2,reductions-cps,5.0,1074,0.81,1.2946024990354816,1.198354138665062,0.0,0.0,0.37,2.0266050797321626,0.8422507797225945,1.654270337331852,1.3127885375823292,1.6843835609735058,1.1814635046971258
lingeling,2,0,2,reductions-cps,4.75,1084,0.79,1.5035539923163201,1.4200469570367718,0.0,0.0,0.34,2.07888583701815,0.9230909178589787,1.8370445207658932,1.1832614671344497,1.867151956841843,1.092981210962601
lingeling,3,0,2,reductions-cps,5.25,1056,0.78,2.2100952426042717,1.5924647050671128,0.0,0.0,0.34,2.386447909629778,1.335693547872622,1.9660096873431574,1.7700647448885682,2.074176392528451,1.6351871101351094
lingeling,4,0,2,reductions-cps,4.25,1039,0.79,1.9357413024083285,1.7851870720954115,0.0,0.0,0.35,2.4016264441762925,1.4195523597998978,1.9198503955040496,1.9382396497703238,2.0171787209921734,1.6474739297846255
lingeling,0,0,3,reductions-cps-conflicts,4.5,1023,0.74,1.9951788285160537,1.0353666050443375,0.0,0.0,0.35,2.050517184876454,0.6641737431662476,1.868967899302085,1.22753269024552,1.851589943043001,1.0424855851406836
lingeling,1,0,3,reductions-cps-conflicts,5.0,1063,0.79,1.3469776893401613,1.1933791380876213,0.0,0.0,0.37,2.029053238722297,0.8511687365776818,1.651487795481361,1.311018483946242,1.6936061541897707,1.1881302352079448
lingeling,2,0,3,reductions-cps-conflicts,4.5,1078,0.77,1.5637646186820158,1.434775194486611,0.0,0.0,0.35,2.083587369749231,0.9246065746575178,1.8498928067445055,1.199147310046161,1.8727596923267147,1.1092922072382962
lingeling,3,0,3,reductions-cps-conflicts,5.25,1058,0.8,2.247880284063773,1.6008659518778179,0.0,0.0,0.34,2.389729406962668,1.338194942604238,1.9569371452392554,1.7659760168301373,2.0708071859772375,1.6349103291825102
lingeling,4,0,3,reductions-cps-conflicts,4.5,1038,0.79,1.9209474123418777,1.8040584031401279,0.0,0.0,0.35,2.4043756429047236,1.4168330861471468,1.93839394842416,1.9249553218451356,2.0312433799667997,1.640112872890819
nodejs,0,0,1,ops,3.0,1237,0.98,0.7401993017425779,1.0603657175239158,0.0,0.0,1.0,1.516893502480201,0.6287286043403646,0.8277751490355603,1.1518095740507375,0.8277751490355603,1.1518095740507375
nodejs,1,0,1,ops,3.1666666666666665,1219,0.96,0.8286422193974137,1.1975191543652566,0.0,0.0,1.0,1.6244097572903005,0.8173834448567007,0.9406410972819315,1.4003205493479642,0.9406410972819315,1.4003205493479642
nodejs,2,0,1,ops,3.3333333333333335,1250,0.98,0.8555595835751856,1.229939297668765,0.0,0.0,0.98,1.6030467222538243,0.804994489799055,0.9368827366702626,1.3076994549851637,0.9368827366702626,1.3076994549851637
nodejs,3,0,1,ops,3.1666666666666665,1238,1.0,0.7885160257462263,1.1017897314923752,0.0,0.0,1.0,1.5461859567044072,0.6986451757060296,0.8742611124542368,1.233270447117326,0.8742611124542368,1.233270447117326
nodejs,4,0,1,ops,3.0,1241,0.98,0.8527108962836708,1.1285401706493448,0.0,0.0,1.0,1.5890582483670725,0.7300745281625618,0.9589601161303936,1.2890097958263362,0.9589601161303936,1.2890097958263362
nodejs,0,0,1,ops,3.0,1237,0.98,0.7401993017425779,1.0603657175239158,0.0,0.0,1.0,1.516893502480201,0.6287286043403646,0.8277751490355603,1.1518095740507375,0.8277751490355603,1.1518095740507375
nodejs,1,0,1,ops,3.1666666666666665,1219,0.96,0.8286422193974137,1.1975191543652566,0.0,0.0,1.0,1.6244097572903005,0.8173834448567007,0.9406410972819315,1.4003205493479642,0.9406410972819315,1.4003205493479642
nodejs,2,0,1,ops,3.3333333333333335,1250,0.98,0.8555595835751856,1.229939297668765,0.0,0.0,0.98,1.6030467222538243,0.804994489799055,0.9368827366702626,1.3076994549851637,0.9368827366702626,1.3076994549851637
nodejs,3,0,1,ops,3.1666666666666665,1238,1.0,0.7885160257462263,1.1017897314923752,0.0,0.0,1.0,1.5461859567044072,0.6986451757060296,0.8742611124542368,1.233270447117326,0.8742611124542368,1.233270447117326
nodejs,4,0,1,ops,3.0,1241,0.98,0.8527108962836708,1.1285401706493448,0.0,0.0,1.0,1.5890582483670725,0.7300745281625618,0.9589601161303936,1.2890097958263362,0.9589601161303936,1.2890097958263362
poppler,0,0,1,size,6.166666666666667,3926,1.0,0.5076543927613906,0.8818402701050719,0.0,0.0,1.0,1.0441556801017813,0.16697737117242814,0.4881521829936819,0.8585629077566219,0.4881521829936819,0.8585629077566219
poppler,1,0,1,size,5.0,4018,1.0,0.49498661610946537,0.8404096426808372,0.0,0.0,1.0,1.04807217931126,0.16072434489102524,0.5855890606982906,0.8817386414916958,0.5855890606982906,0.8817386414916958
poppler,2,0,1,size,4.833333333333333,3906,1.0,0.5883239276854008,0.9239535891803669,0.0,0.0,1.0,1.03207443964876,0.13926957254190106,0.5792622900034282,0.8873959637658946,0.5792622900034282,0.8873959637658946
poppler,3,0,1,size,4.666666666666667,3902,1.0,0.5101866539525697,0.8700442531294217,0.0,0.0,1.0,1.0262993712635198,0.1714890367399899,0.4949355598052732,0.881380295840619,0.4949355598052732,0.881380295840619
poppler,4,0,1,size,4.5,3926,1.0,0.5632546671970958,0.8942576811925051,0.0,0.0,1.0,1.0489549066099935,0.17116872952649467,0.5377024869229363,0.8764218858141462,0.5377024869229363,0.8764218858141462
poppler,0,0,1,time,4.666666666666667,3762,1.0,0.27625667239388496,0.6100621984785449,0.0,0.0,1.0,1.0070152802464785,0.3092386305673619,0.26776716590348815,0.6328272919254055,0.21354518952157492,0.5039957520055575
poppler,1,0,1,time,4.333333333333333,3803,1.0,0.26958059191992423,0.6311451872449994,0.0,0.0,1.0,1.0251428338793813,0.31398182358503574,0.2830208887616922,0.6207302855559146,0.2566153379187693,0.5925445026606728
poppler,2,0,1,time,4.0,3760,1.0,0.2359722863749104,0.6047401149693692,0.0,0.0,1.0,1.0095959228333697,0.2947224619880652,0.24141924121522612,0.5268904768111331,0.24141924121522612,0.5268904768111331
poppler,3,0,1,time,4.166666666666667,3705,1.0,0.2781610450343599,0.6451081717956652,0.0,0.0,1.0,1.022401080677811,0.34361713491692564,0.24819011402549362,0.5831285027463422,0.24819011402549362,0.5831285027463422
poppler,4,0,1,time,4.0,3734,1.0,0.3046933060608544,0.5947020891019935,0.0,0.0,0.9375,1.032350183346866,0.3014910649860169,0.28425345836916327,0.5599397870509686,0.28425345836916327,0.5599397870509686
poppler,0,0,1,size,6.166666666666667,3926,1.0,0.5076543927613906,0.8818402701050719,0.0,0.0,1.0,1.0441556801017813,0.16697737117242814,0.4881521829936819,0.8585629077566219,0.4881521829936819,0.8585629077566219
poppler,1,0,1,size,5.0,4018,1.0,0.49498661610946537,0.8404096426808372,0.0,0.0,1.0,1.04807217931126,0.16072434489102524,0.5855890606982906,0.8817386414916958,0.5855890606982906,0.8817386414916958
poppler,2,0,1,size,4.833333333333333,3906,1.0,0.5883239276854008,0.9239535891803669,0.0,0.0,1.0,1.03207443964876,0.13926957254190106,0.5792622900034282,0.8873959637658946,0.5792622900034282,0.8873959637658946
poppler,3,0,1,size,4.666666666666667,3902,1.0,0.5101866539525697,0.8700442531294217,0.0,0.0,1.0,1.0262993712635198,0.1714890367399899,0.4949355598052732,0.881380295840619,0.4949355598052732,0.881380295840619
poppler,4,0,1,size,4.5,3926,1.0,0.5632546671970958,0.8942576811925051,0.0,0.0,1.0,1.0489549066099935,0.17116872952649467,0.5377024869229363,0.8764218858141462,0.5377024869229363,0.8764218858141462
poppler,0,0,2,size-time,5.5,4020,1.0,0.3947110671069224,0.6915260856791459,0.0,0.0,1.0,0.9564209469034706,0.4866395860875136,0.27033827869849286,0.5545984456644799,0.4860450797954459,0.4915308172014227
poppler,1,0,2,size-time,5.5,4036,1.0,0.45747451355145125,0.7903192736350225,0.0,0.0,1.0,1.0005791203691257,0.48209265399390455,0.27348989667607354,0.5206551886298246,0.5619078897815755,0.5018780144741185
poppler,2,0,2,size-time,4.5,4016,1.0,0.38933946201073594,0.6922708504652186,0.0,0.0,1.0,0.95543196745017,0.5116319201539045,0.2383610650055042,0.5582907288069933,0.5095666874247265,0.49685106697113385
poppler,3,0,2,size-time,4.833333333333333,4065,1.0,0.4645069762479548,0.7667360484718533,0.0,0.0,1.0,0.991437566417025,0.4853384201388285,0.23904186424652557,0.5292192488587555,0.5026886481449677,0.5233909558639539
poppler,4,0,2,size-time,4.833333333333333,4017,1.0,0.4696305072328265,0.8341554556528685,0.0,0.0,1.0,0.9836624858848023,0.4905244504499307,0.28113029445463955,0.5616287342254136,0.5409102444935672,0.5135320563992967
sqlite,0,0,1,q8,2.8333333333333335,498,0.36,0.007693987815125685,0.01141501290310402,0.0,0.0,0.34,0.9762941056052078,0.04599644082170703,0.0949699789068546,0.05086899912250024,0.09267388015709968,0.048628985857410455
sqlite,1,0,1,q8,3.6666666666666665,510,0.38,0.011136644534775192,0.03665623584375478,0.0,0.0,0.28,0.9794228619807785,0.04566544483186041,0.09470222597080293,0.051250315902545196,0.09470222597080293,0.051250315902545196
sqlite,2,0,1,q8,3.1666666666666665,520,0.38,0.01179691166211953,0.021983374735807616,0.0,0.0,0.3,0.9992133467449886,0.05276520909856687,0.08020095433561526,0.06695806756702982,0.08020095433561526,0.06695806756702982
sqlite,3,0,1,q8,3.0,504,0.36,0.007329296459558334,0.010898277687490405,0.0,0.0,0.28,0.9702227287248124,0.03932947384342174,0.10260566657704305,0.043157886675710876,0.10260566657704305,0.043157886675710876
sqlite,4,0,1,q8,3.0,530,0.4,0.006865581980732497,0.008922623680908733,0.0,0.0,0.22,0.9926765429974501,0.052315105520579316,0.08333580067061526,0.06353503608004793,0.07907313620670091,0.05569023379676159
sqlite,0,0,1,q10,3.1666666666666665,528,0.54,0.018894294663713798,0.018693674266589355,0.0,0.0,0.36,1.0828984586115327,0.22837256357185462,0.1137691548912221,0.09339027763285322,0.10520988367448378,0.0613944471339669
sqlite,1,0,1,q10,3.1666666666666665,528,0.54,0.019425484481967077,0.017421312340501666,0.0,0.0,0.38,1.0912158264245926,0.22534285428595868,0.11577911891582221,0.07811774028765948,0.11577911891582221,0.07811774028765948
sqlite,2,0,1,q10,2.5,549,0.54,0.011316407328189932,0.014527992570054032,0.0,0.0,0.4,1.184356200653155,0.2695049504568239,0.0950105468139379,0.08206450079761504,0.0950105468139379,0.08206450079761504
sqlite,3,0,1,q10,3.0,512,0.52,0.02658710019000413,0.02390003548254007,0.0,0.0,0.38,1.0544747130448344,0.19437487661340988,0.1282882316843565,0.0974288249133136,0.1282882316843565,0.0974288249133136
sqlite,4,0,1,q10,3.0,553,0.54,0.040711168947606007,0.08513360542603442,0.0,0.0,0.36,1.1572142312401432,0.2575157653638872,0.10319264391045888,0.08735890429862023,0.10319264391045888,0.08735890429862023
sqlite,0,0,1,q2,3.1666666666666665,521,0.52,0.10212450523334807,0.09260996341298072,0.0,0.0,0.32,0.9301307629813697,0.44742692009437873,0.5680057265793235,0.910596094399676,0.5680057265793235,0.910596094399676
sqlite,1,0,1,q2,3.0,523,0.48,0.09043543409953357,0.17795207072372965,0.0,0.0,0.34,0.9606826190896581,0.44325828343640544,0.5887627959375286,0.9160497648367646,0.5408344994375258,0.9205246634045614
sqlite,2,0,1,q2,3.3333333333333335,533,0.52,0.08357107626355281,0.13452798300210497,0.0,0.0,0.32,1.146403288218256,0.5161364959592896,0.9649657545794029,1.077572866133205,0.9327472621529824,1.0935944805337607
sqlite,3,0,1,q2,2.8333333333333335,503,0.48,0.11847726274539279,0.09546879450030639,0.0,0.0,0.36,0.8850046072888709,0.389887082870777,0.435274375383789,0.7678972396556007,0.435274375383789,0.7678972396556007
sqlite,4,0,1,q2,2.6666666666666665,543,0.52,0.10874175997672555,0.13015697298446055,0.0,0.0,0.28,1.091638649966892,0.5023417519397841,0.862888215773142,1.0387561182467426,0.8091014512495237,1.0589374407958863
